Event,KE_e,x,y,z
259,2.19671,-276.966,51.9851,-515
260,7.62495,210.069,-515,49.7815
261,5.82343,-84.649,-52.5284,215
262,2.85323,-360.563,515,-210.774
263,1.69804,257.829,515,-213.96
264,0.52985,50.2276,515,-396.102
265,1.84355,169.492,-216.747,-515
266,1.22536,-209.68,-33.1702,215
267,6.50418,256.153,-178.051,215
268,2.52337,-27.2054,163.772,215
269,6.4787,482.401,-515,-454.992
270,5.46596,-115.493,92.0036,215
271,3.26398,-515,295.584,-48.7945
272,7.37438,-83.0404,-24.1697,215
273,6.0013,-515,11.5926,-142.839
274,4.81934,-221.69,92.4539,215
275,2.98547,-515,-406.345,-374.871
276,1.62962,52.7141,144.171,-515
277,5.5869,-515,183.335,-413.288
278,0.830049,-515,-104.336,-82.5351
279,6.69912,41.9881,-348.383,-515
280,3.42025,515,-130.283,-26.283
281,0.346044,-203.239,-515,-161.349
282,7.02113,515,-180.179,-23.7235
283,5.25405,342.819,-515,-307.691
284,2.31208,-189.726,64.6702,215
285,5.13612,-500.457,-132.233,-515
286,6.46954,515,323.24,-135.598
287,3.41712,-106.448,200.702,-515
288,5.86361,-286.37,-466.555,215
289,1.4233,48.2392,10.936,215
290,4.40233,-142.227,515,-87.9106
291,4.65949,-515,-172.793,128.605
292,4.45366,-401.847,515,-199.11
293,1.83815,158.35,86.8765,215
294,3.29538,-136.729,-48.5,215
295,3.63613,262.406,515,-183.873
296,1.27875,123.122,-515,-188.112
297,1.01197,515,283.216,-55.5809
298,4.47269,-515,-96.035,-123.842
299,0.940527,-129.759,-427.337,215
300,5.44024,-85.6735,515,-378.755
301,5.39842,-81.5978,515,7.63928
302,5.84579,281.117,-515,-27.0428
303,6.80815,105.439,-515,-38.0084
304,5.50112,-515,306.465,-100.779
305,0.991643,354.408,114.181,-515
306,1.73864,-44.459,515,-128.512
307,5.52419,515,137.918,-27.216
308,5.50483,515,89.5135,-80.2473
309,3.98956,338.05,120.839,215
310,0.294791,515,74.3148,-95.9809
311,0.510601,-85.6871,37.2204,-515
312,5.94449,-178.939,235.61,-515
313,0.405949,-53.0901,-0.80833,215
314,2.90293,-515,84.6046,-346.942
315,1.2993,-96.4775,-515,67.7066
316,4.20519,-515,203.643,-337.596
317,3.22557,-515,-102.407,25.1867
318,6.89852,-475.609,-174.296,-515
319,6.40644,328.963,219.185,215
320,7.803,-237.355,-515,-492.043
